incident_id;created_at;closed_at;incident_type;severity;status;source_system;affected_asset;business_unit;assigned_analyst;resolution_time_minutes;sla_target_minutes;sla_breached;false_positive;escalated;attack_vector;ioc_count;subject;description
INC-20260501;2026-05-06 22:18;2026-05-06 22:43:00;suspicious_login;low;false_positive;NDR;DB_RISK_PROD_02;Finance;Anna Smirnova;25;1440;no;yes;no;credential_theft;13;Multiple suspicious login attempts;Alert triggered by NDR. Asset DB_RISK_PROD_02 generated 13 IOC events. Requires analyst validation.
INC-20260502;2026-04-08 13:55;2026-04-08 16:05;suspicious_login;low;resolved;IAM;172.20.10.15;Risk Department;Sergey Unknown;130;720;no;no;no;malware;2;Подозрительный вход в учетную запись;Сработало правило корреляции. Актив 172.20.10.15, подразделение Risk Department. Требуется проверка ложного срабатывания.
INC-20260503;2026-04-18 01:49:00;2026-04-18T03:59:00+03:00;ransomware_activity;medium;resolved;EDR;laptop-ivan.petrov;Compliance;Иван Петров;130;240;no;no;no;phishing;34;Suspicious file encryption pattern;Сработало правило корреляции. Актив laptop-ivan.petrov, подразделение Compliance. Требуется проверка ложного срабатывания.
INC-20260504;2026-04-30 02:00;2026-04-30 04:10:00;suspicious_login;medium;resolved;IAM;dlp-sensor-msk-01;ИТ эксплуатация;Дмитрий Волков;130;240;no;no;no;exploit;1;Impossible travel detected;Potential incident from exploit. Need correlation with IAM logs and endpoint telemetry.
INC-20260505;2026-04-25T22:18:00+03:00;;anomalous_traffic;high;triage;NDR;db-risk-prod-02;Compliance;Дмитрий Волков;;180;yes;no;yes;malware;21;NDR detected unusual network flow;Potential incident from malware. Need correlation with IAM logs and endpoint telemetry.
INC-20260506;2026-04-17 10:00:00;;privilege_escalation;high;investigating;SIEM;DB_RISK_PROD_02;ИТ эксплуатация;Ivan Petrov;;180;no;no;yes;insider;21;Unexpected admin privilege assignment;Potential incident from insider. Need correlation with IAM logs and endpoint telemetry.
INC-20260507;2026-04-17T10:55:00+00:00;04/17/2026 11:40 AM;phishing_email;low;false_positive;IAM;10.15.24.88;Финансовый департамент;Мария Неизвестная;45;1440;no;yes;no;brute_force;21;User reported phishing email;Alert triggered by IAM. Asset 10.15.24.88 generated 21 IOC events. Requires analyst validation.
INC-20260508;2026-05-08 13:43;2026-05-09T03:03:00+03:00;suspicious_login;low;resolved;EDR;laptop-ivan.petrov;Retail Banking;Elena Kryllova;800;90;yes;no;no;exploit;0;Подозрительный вход в учетную запись;Alert triggered by EDR. Asset laptop-ivan.petrov generated 0 IOC events. Requires analyst validation.
INC-20260509;04/13/2026 12:18 AM;2026/04/13 02:28;data_exfiltration;high;resolved;NDR;SRV-CORE-PAY-01;Финансовый департамент;Elena Kryllova;130;180;no;no;yes;malware;1;Возможная выгрузка чувствительных данных;Potential incident from malware. Need correlation with IAM logs and endpoint telemetry.
INC-20260510;2026-04-22T16:00:00+03:00;;privilege_escalation;low;triage;EDR;10.15.24.88;IT Operations;Sergey Unknown;;960;no;no;no;phishing;3;Назначение повышенных прав вне процесса;Alert triggered by EDR. Asset 10.15.24.88 generated 3 IOC events. Requires analyst validation.
INC-20260511;2026/04/12 17:55;;suspicious_login;high;investigating;SIEM;laptop-ivan.petrov;Операционный блок;Anna Smirnova;;180;no;no;no;malware;3;Подозрительный вход в учетную запись;Potential incident from malware. Need correlation with IAM logs and endpoint telemetry.
INC-20260512;2026-04-27 09:00:00;2026-04-28T11:40:00+00:00;brute_force_attack;critical;contained;NDR;auth-gw-prod-01;Операционный блок;Елена Крылова;1600;15;yes;no;yes;phishing;0;Brute force attempts against VPN;Alert triggered by NDR. Asset auth-gw-prod-01 generated 0 IOC events. Requires analyst validation.
INC-20260513;11.04.2026 08:30:00;;malware_detected;high;triage;SIEM;10.15.24.88;Finance;Dmitry Volkov;;180;no;no;yes;credential_theft;13;EDR detected suspicious executable;Alert triggered by SIEM. Asset 10.15.24.88 generated 13 IOC events. Requires analyst validation.
INC-20260514;2026-05-09T22:18:00+00:00;2026-05-09 22:43;suspicious_login;high;false_positive;NDR;crm-app-01.bank.local;Комплаенс;Елена Крылова;25;60;no;yes;yes;credential_theft;8;Multiple suspicious login attempts;Detected repeated activity on crm-app-01.bank.local. Business unit: Комплаенс. Similar pattern was observed earlier this week.
INC-20260515;2026-04-13T08:05:00+03:00;2026-04-13 21:25;privilege_escalation;low;false_positive;DLP;db-risk-prod-02;Комплаенс;Anna Smirnova;800;1440;no;yes;no;insider;1;Unexpected admin privilege assignment;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260516;2026-04-29 14:00;;malware_detected;critical;investigating;EDR;db-risk-prod-02;Комплаенс;Елена Крылова;;999;no;no;no;brute_force;5;Malware alert on workstation;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260517;2026-04-08 00:18;;anomalous_traffic;low;investigating;NDR;DB_RISK_PROD_02;Risk Department;Мария Неизвестная;;720;no;no;no;credential_theft;34;Anomalous outbound traffic spike;Alert triggered by NDR. Asset DB_RISK_PROD_02 generated 34 IOC events. Requires analyst validation.
INC-20260518;04/17/2026 01:30 AM;;suspicious_login;high;investigating;SIEM;172.20.10.15;Риск-департамент;;;180;yes;no;yes;malware;34;Impossible travel detected;Potential incident from malware. Need correlation with IAM logs and endpoint telemetry.
INC-20260519;2026-04-23 15:49;2026-04-23T16:14:00+00:00;privilege_escalation;high;false_positive;NDR;DB_RISK_PROD_02;Финансовый департамент;Elena Kryllova;25;60;no;yes;yes;malware;1;Unexpected admin privilege assignment;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260520;2026-04-19T09:55:00+03:00;;privilege_escalation;medium;contained;EDR;dlp-sensor-msk-01;Compliance;Иван Петров;;480;no;no;no;malware;34;Unexpected admin privilege assignment;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260521;2026-05-06T17:55:00+00:00;;data_exfiltration;critical;investigating;SIEM;dlp-sensor-msk-01;РИСК ДЕПАРТАМЕНТ;Dmitry Volkov;;60;yes;no;yes;phishing;5;Возможная выгрузка чувствительных данных;Сработало правило корреляции. Актив dlp-sensor-msk-01, подразделение РИСК ДЕПАРТАМЕНТ. Требуется проверка ложного срабатывания.
INC-20260522;2026/05/10 00:49;2026-05-10 02:59:00;data_exfiltration;critical;resolved;SIEM;SRV-CORE-PAY-01;Retail Banking;Elena Kryllova;130;15;yes;no;no;insider;13;Возможная выгрузка чувствительных данных;Alert triggered by SIEM. Asset SRV-CORE-PAY-01 generated 13 IOC events. Requires analyst validation.
INC-20260523;2026-05-03 13:55;;suspicious_login;low;new;EDR;10.15.24.88;Risk Department;Дмитрий Волков;;960;yes;no;no;exploit;3;Подозрительный вход в учетную запись;Detected repeated activity on 10.15.24.88. Business unit: Risk Department. Similar pattern was observed earlier this week.
INC-20260524;2026-05-03 08:05:00;;suspicious_login;medium;investigating;IAM;dlp-sensor-msk-01;ИТ эксплуатация;Elena Kryllova;;999;yes;no;no;exploit;8;Impossible travel detected;Detected repeated activity on dlp-sensor-msk-01. Business unit: ИТ эксплуатация. Similar pattern was observed earlier this week.
INC-20260525;2026-04-28T08:05:00+03:00;04/28/2026 12:05 PM;data_exfiltration;low;false_positive;SIEM;crm-app-01.bank.local;ИТ эксплуатация;Ivan Petrov;240;960;no;yes;no;brute_force;3;Large outbound transfer detected;Alert triggered by SIEM. Asset crm-app-01.bank.local generated 3 IOC events. Requires analyst validation.
INC-20260526;10.04.2026 13:18:00;2026-04-11T15:58:00+00:00;privilege_escalation;medium;false_positive;NDR;mail-gw-02;Риск-департамент;Dmitry Volkov;1600;360;yes;yes;no;insider;0;Unexpected admin privilege assignment;Potential incident from insider. Need correlation with IAM logs and endpoint telemetry.
INC-20260527;04/20/2026 10:43 AM;2026-04-21 13:23;phishing_email;medium;resolved;NDR;srv-core-pay-01;Риск-департамент;Мария Неизвестная;1600;240;yes;no;no;brute_force;3;Mass phishing campaign detected;Alert triggered by NDR. Asset srv-core-pay-01 generated 3 IOC events. Requires analyst validation.
INC-20260528;2026-04-19T14:00:00+00:00;2026-04-19T18:00:00+03:00;brute_force_attack;low;false_positive;IAM;cloud-vm-risk-eu-01;Розничный бизнес;;240;1440;no;yes;no;malware;8;Множественные неуспешные попытки входа;Alert triggered by IAM. Asset cloud-vm-risk-eu-01 generated 8 IOC events. Requires analyst validation.
INC-20260529;2026-05-04 08:43;2026-05-04 15:13;data_exfiltration;medium;resolved;DLP;WS-FIN-1045;Комплаенс;Dmitry Volkov;390;480;no;no;no;exploit;2;Возможная выгрузка чувствительных данных;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260530;2026-04-22T15:43:00+03:00;;data_exfiltration;medium;resolved;SIEM;ws-fin-1045;Финансовый департамент;Анна Смирнова;;240;no;no;no;brute_force;2;Возможная выгрузка чувствительных данных;Alert triggered by SIEM. Asset ws-fin-1045 generated 2 IOC events. Requires analyst validation.
INC-20260531;2026-04-23 08:05;;data_exfiltration;medium;investigating;IAM;WS-FIN-1045;Риск-департамент;Анна Смирнова;;240;yes;no;no;credential_theft;21;Возможная выгрузка чувствительных данных;Alert triggered by IAM. Asset WS-FIN-1045 generated 21 IOC events. Requires analyst validation.
INC-20260532;2026-04-17 08:55;2026-04-17 09:07;anomalous_traffic;medium;resolved;IAM;DB_RISK_PROD_02;Розничный бизнес;Elena Kryllova;12;999;no;no;no;brute_force;34;NDR detected unusual network flow;Alert triggered by IAM. Asset DB_RISK_PROD_02 generated 34 IOC events. Requires analyst validation.
INC-20260533;2026/04/09 17:30;;privilege_escalation;critical;investigating;SIEM;auth-gw-prod-01;РИСК ДЕПАРТАМЕНТ;Елена Крылова;;30;no;no;yes;credential_theft;2;Назначение повышенных прав вне процесса;Сработало правило корреляции. Актив auth-gw-prod-01, подразделение РИСК ДЕПАРТАМЕНТ. Требуется проверка ложного срабатывания.
INC-20260534;2026-04-11 22:55;;anomalous_traffic;medium;investigating;EDR;mail-gw-02;Retail Banking;Dmitry Volkov;;240;no;no;no;exploit;8;NDR detected unusual network flow;Похожий инцидент уже фиксировался ранее: одинаковый источник, похожий subject и повторяющийся affected_asset.
INC-20260535;2026-04-29T01:43:00+00:00;2026-04-30 04:23;suspicious_login;low;contained;EDR;crm-app-01.bank.local;Розничный бизнес;Anna Smirnova;1600;960;yes;no;no;credential_theft;3;Impossible travel detected;Сработало правило корреляции. Актив crm-app-01.bank.local, подразделение Розничный бизнес. Требуется проверка ложного срабатывания.
INC-20260536;04/23/2026 01:05 PM;2026-04-23 19:35;malware_detected;high;false_positive;IAM;crm-app-01.bank.local;Operations;Ivan Petrov;390;180;yes;yes;no;insider;34;Подозрительный исполняемый файл на рабочей станции;Detected repeated activity on crm-app-01.bank.local. Business unit: Operations. Similar pattern was observed earlier this week.
